Project	Title	Abstract	Sequence Runs
SRP098427	Coral microbial communities from El Islote,Puerto Morelos, Mexico - Siderastrea C C metagenome metagenome	Metagenome sequencing of coral microbial communities from various locations to study how coral hosts communicate with their associated microbial community	SRR5215424
SRP103667	Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_152 metagenome	Community metagenomic and transcriptomic analyses of microbial carbon turnover in grassland soil profiles under two rainfall regimes: Grasslands soil sample from the Angelo Coastal Reserve, California, USA - Angelo_152	SRR5438309
SRP068000	Air, terrestrial and marine samples Targeted loci environmental	The study aims at describing the identity and activity of airborne microorganisms as well as the potential sources from where the cells got aerosolized.	SRR3081468,SRR3081485,SRR3081534,SRR3081569,SRR3085416,SRR3085435,SRR3085585,SRR3089646,SRR3089647,SRR3089688,SRR3089693,SRR3089827,SRR3091719,SRR3091743,SRR3095933,SRR3095939
SRP059828	the  duodenal gut microbiome from obese and healthy subjects	The goal of the sutdy was to compare the functionnal genes of the duodenal gut between obese and healthy individuals, particulary the lipid and carbohydrate metabolism	SRR2075961,SRR2075962,SRR2075963,SRR2075966,SRR2075968,SRR2075970
SRP110665	Seasonal Cycling in the Gut Microbiome of the Hadza Hunter-Gatherers of Tanzania	 	SRR5763445,SRR5763446,SRR5763447,SRR5763448,SRR5763449,SRR5763450,SRR5763451,SRR5763452,SRR5763453,SRR5763454,SRR5763455,SRR5763456,SRR5763457,SRR5763458,SRR5763459,SRR5763460,SRR5763461,SRR5763462,SRR5763464,SRR5763465,SRR5763466,SRR5763467,SRR5763468,SRR5763469,SRR5763470,SRR5763471,SRR5763472,SRR5763473,SRR5763474,SRR5763475,SRR5763476,SRR5763478,SRR5763479,SRR5763480,SRR5763481,SRR5763482,SRR5763483,SRR5763484
SRP056250	Deep subsurface microbial communities from Mt. Terri, Switzerland - Autotrophic microbial communities BRH/21 Metagenome	The subsurface biosphere is often cited to harbor vast microbial diversity and to represent a significant contribution to the planetâ€™s biomass. There is little understanding of the metabolic processes fueling these communities and the role of lithoautotrophic growth in nutrient cycling in the subsurface. H2 from geogenic sources such as serpentinization, radiolysis of water or hydrothermal fluid circulation is proposed as a fuel for microbial metabolism in deep subsurface environments where light dependent processes are limited to residual sedimentary carbon. The aim of this project is to identify the metabolic processes supported by H2 and characterize the lithoautotrophic microorganisms in the associated microbial community and to characterize the rate of consumption of H2 in these environments to account for microbial H2 consumption in their repository safety assessment models. To pursue these aims, we have built an underground in situ reactor that is delivering H2 to a borehole in the rock located at the Mt. Terri Underground Rock Laboratory in Switzerland that is instrumented to collect information continuously.We have been monitoring sulfate, sulfide, Fe(II), H2, CH4, organic acids, major cations and anions, alkalinity, borehole pressure as well as collecting samples for metagenomic analysis and for isotopic characterization (S, H and C). JGI Project ID:1029487	SRR1917251
SRP103143	Marine gutless worms symbiont microbial communities from Max Planck institute for Marine Microbiology, Germany - Olavius tantulus BAHAMAS.1 metagenome	 	SRR5420436
SRP103608	Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_108 metagenome	Community metagenomic and transcriptomic analyses of microbial carbon turnover in grassland soil profiles under two rainfall regimes: Grasslands soil sample from the Angelo Coastal Reserve, California, USA - Angelo_108	SRR5437016
ERP013851	Metagenome and viral metagenome fraction isolated from Blanes (Mediterranean Sea)	Surface seawater samples were collected form the Blanes Bay Microbial Observatory (BBMO) in the north-western Mediterranean Sea, and they was used for metaviromics and metagenomics analyses.	ERR1212038
SRP008595	Wisconsin, Switchgrass soil metagenome reference core Project	none provided	SRR350470,SRR350471,SRR350472,SRR350473,SRR350474
SRP032651	UluPandan WasteWater Sludge Metagenome	The establishment of industrial-scale, clean water technologies in the mid-late 19th century caused a notable reduction (~15%) in disease-related mortality. However, exponential human population growth over the last 50 years has created severe additional challenges, including deteriorating fresh and marine water environments, which are the primary recipients of wastewater discharges. Increasingly complex contemporary requirements for environmental regulation, energy efficiency, enhanced nutrient and water recovery, public health risk management, and urban sustainability necessitate better understanding and control of the key biological processes that drive current and future clean water technologies. While insights into the microbiological make-up of the functional community of these critical bioprocesses have started to emerge, a greatly enhanced understanding of the mechanisms by which floccular biofilm communities perform specific transformations, including the degradation of complex organic materials and sequestration of nutrients is still required.	SRR1025188,SRR1025189,SRR1025190,SRR1025191,SRR1025192,SRR1025193,SRR1025195,SRR1025200,SRR1025201,SRR1025202,SRR1025203,SRR1025204,SRR1025205,SRR1025206,SRR1025207,SRR1025216,SRR1027651
SRP010337	Miscanthus Rhizosphere Soil Replicate 1 Project	none provided	SRR399006,SRR399007
SRP107581	Surface soil microbial communities from Centralia Pennsylvania, which are recovering from an underground coalmine fire - Coalmine Soil_Cen05_05102014_R1 metagenome	Response and recovery of surface soil microbial communities to an ongoing underground coalmine fire	SRR5579863
SRP064400	Intestinal microbiota dynamics in hospitalized patients	Using whole-metagenome shotgun sequencing, we examined the diversity and composition of the fecal microbiota in a prospective cohort study of 98 hospitalized patients.	SRR2565533,SRR2565534,SRR2565535,SRR2565536,SRR2565537,SRR2565538,SRR2565539,SRR2565540,SRR2565541,SRR2565542,SRR2565543,SRR2565544,SRR2565545,SRR2565546,SRR2565547,SRR2565548,SRR2565549,SRR2565550,SRR2565551,SRR2565552,SRR2565553,SRR2565554,SRR2565555,SRR2565556,SRR2565557,SRR2565558,SRR2565559,SRR2565579,SRR2565597,SRR2565617,SRR2565618,SRR2565620,SRR2565621,SRR2565646,SRR2565647,SRR2565687,SRR2565714,SRR2565715,SRR2565717,SRR2565742,SRR2565743,SRR2565744,SRR2565770,SRR2565790,SRR2565811,SRR2565813,SRR2565814,SRR2565815,SRR2565816,SRR2565817,SRR2565818,SRR2565819,SRR2565822,SRR2565824,SRR2565825,SRR2565826,SRR2565827,SRR2565829,SRR2565830,SRR2565832,SRR2565836,SRR2565838,SRR2565840,SRR2565841,SRR2565842,SRR2565843,SRR2565844,SRR2565845,SRR2565846,SRR2565847,SRR2565849,SRR2565850,SRR2565921,SRR2565922,SRR2565923,SRR2565924,SRR2565925,SRR2565926,SRR2565927,SRR2565928,SRR2565929,SRR2565931,SRR2565932,SRR2565933,SRR2565934,SRR2565935,SRR2565936,SRR2565937,SRR2565938,SRR2565941,SRR2565942,SRR2565943,SRR2565949,SRR2565950,SRR2565951,SRR2565952,SRR2565953,SRR2565954,SRR2565955,SRR2565956,SRR2565957,SRR2565958,SRR2565959,SRR2565960,SRR2565961,SRR2565963,SRR2565964,SRR2565971,SRR2565972,SRR2565973,SRR2565976,SRR2565980,SRR2565981,SRR2565982,SRR2565983,SRR2565984,SRR2565985,SRR2565986,SRR2565987,SRR2565988,SRR2565990,SRR2565991,SRR2565992,SRR2565993,SRR2565996,SRR2565997,SRR2565998,SRR2565999,SRR2566001,SRR2566002,SRR2566003,SRR2566004,SRR2566005,SRR2566006,SRR2566008,SRR2566009,SRR2566010,SRR2566011,SRR2566012,SRR2566013,SRR2566015,SRR2566017,SRR2566018,SRR2566019,SRR2566020,SRR2566021,SRR2566022,SRR2566023,SRR2566024,SRR2566025,SRR2566026,SRR2566027,SRR2566028,SRR2566029,SRR2566030,SRR2566033,SRR2566034,SRR2566035,SRR2566037,SRR2566038,SRR2566039,SRR2566040,SRR2566041,SRR2566042,SRR2566043,SRR2566044,SRR2566045,SRR2566047,SRR2566049,SRR2566050,SRR2566051,SRR2566052,SRR2566053,SRR2566054,SRR2566055,SRR2566056,SRR2566057,SRR2566059,SRR2566060,SRR2566061,SRR2566062,SRR2566063,SRR2566064,SRR2566065,SRR2566066,SRR2566067,SRR2566069,SRR2566070,SRR2583965,SRR2583966,SRR2583967,SRR2583968,SRR2583969,SRR2583970,SRR2583971,SRR2583972,SRR2583973,SRR2583974,SRR2583975,SRR2583976,SRR2583977,SRR2583979,SRR2583980,SRR2583981,SRR2583982,SRR2583983,SRR2583984,SRR2583985,SRR2583986,SRR2583987,SRR2583988
SRP104199	Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS K5-10-2 metaG metagenome	Metagenomic analysis of the rhizosphere of three biofuel crops at the KBS intensive site	SRR5456944
SRP080625	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G06A5a-12 metagenome	 	SRR3989576
SRP097881	Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_124 metagenome	Community metagenomic and transcriptomic analyses of microbial carbon turnover in grassland soil profiles under two rainfall regimes: Grasslands soil sample from the Angelo Coastal Reserve, California, USA - Angelo_124	SRR5205823
SRP103418	Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 68_HOW9 metagenome	Methane oxidation as a community function: Freshwater sediment methanotrophic sample from Lake Washington under simulated oxygen tension - Sediment Metagenome 68_HOW9	SRR5430754
SRP052958	Oral microbiome Metagenome	Oral microbiome associated with Periodontitis	SRR1779378,SRR1779403,SRR1779468,SRR1779479,SRR1779482,SRR1779488,SRR1779492,SRR1779495,SRR1779497,SRR1779502,SRR1779506,SRR1779511,SRR1781914,SRR1781969,SRR1781970,SRR1781983,SRR1783028,SRR1783032,SRR1783079,SRR1783718,SRR1783722,SRR1783724,SRR1783757,SRR1783758,SRR1783760,SRR1783763,SRR1783767,SRR1783768,SRR1783769,SRR1783771,SRR1783774,SRR1783775,SRR1794083,SRR1794618,SRR1794621,SRR1794623,SRR1794794,SRR1795007,SRR1795008,SRR1795009,SRR1795012,SRR1795016,SRR1795017,SRR1795018,SRR1795019,SRR1795020,SRR1795229,SRR1795230
SRP041915	Python regius Metagenome	A severe respiratory disease has been observed in captive ball pythons (Python regius) since the late 1990s. In order to identify the etiology of this disease, we collected case and control samples and performed random sequencing of total RNA.	SRR1289530,SRR1289535
SRP090453	Healthy human gut virome	The virome associated with the human gut microbiome is composed of both viruses unique to an individual and a group of healthy gut viruses (HGV) that are shared among the majority of healthy individuals. The presence of these viruses is reduced among individuals with gastrointestinal disease	SRR4295173
SRP106434	Corn rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS Corn C1-2 metagenome	Metagenomic analysis of the rhizosphere of three biofuel crops at the KBS intensive site	SRR5506996
